year,low,base,high
2027,0.060912,0.101908,0.144413
2028,0.063063,0.104005,0.147702
2029,0.063062,0.105041,0.146826
2030,0.067151,0.107509,0.149716
2031,0.068084,0.109405,0.151947
2032,0.069413,0.110817,0.154078
2033,0.071820,0.112521,0.154072
2034,0.072442,0.113328,0.155390
2035,0.074288,0.115704,0.158062
2036,0.076852,0.118721,0.160692
2037,0.079033,0.120335,0.162045
2038,0.079433,0.121258,0.164766
2039,0.080393,0.122914,0.166965
2040,0.083842,0.125186,0.168077
2041,0.084276,0.126776,0.169574
2042,0.085582,0.128241,0.172230
2043,0.087651,0.130522,0.174691
2044,0.089359,0.131944,0.175968
2045,0.090664,0.133063,0.174997
2046,0.091715,0.134863,0.178295
2047,0.093934,0.137448,0.182451
2048,0.095649,0.139153,0.183204
2049,0.097932,0.141217,0.185536
2050,0.099734,0.142755,0.186645
2051,0.102120,0.144109,0.186836
2052,0.102632,0.145094,0.188268
2053,0.105442,0.147787,0.191604
2054,0.106363,0.149117,0.192933
2055,0.107453,0.150605,0.193957
2056,0.111051,0.152931,0.196526
2057,0.111952,0.155241,0.199070
2058,0.113676,0.156486,0.199434
2059,0.115068,0.158590,0.202313
2060,0.115879,0.159961,0.205344
2061,0.117240,0.161276,0.206319
2062,0.119276,0.162771,0.206891
2063,0.121305,0.164832,0.209511
2064,0.121356,0.166665,0.211710
2065,0.123505,0.168464,0.213802
2066,0.125715,0.170696,0.216623
2067,0.126454,0.172252,0.217029
2068,0.128823,0.174002,0.219084
2069,0.129778,0.175068,0.220587
2070,0.132418,0.176903,0.221293
2071,0.133704,0.178784,0.222659
2072,0.136098,0.180647,0.225282
2073,0.138573,0.182761,0.228444
2074,0.140037,0.184383,0.228914
2075,0.141365,0.186313,0.231938
2076,0.142815,0.187579,0.233642
2077,0.145178,0.190099,0.236882
2078,0.147392,0.192515,0.239701
2079,0.147784,0.193833,0.240209
2080,0.149236,0.194348,0.241339
2081,0.150146,0.196303,0.242301
2082,0.152677,0.198028,0.244936
2083,0.152935,0.199345,0.247379
2084,0.154785,0.201127,0.247949
2085,0.156908,0.203450,0.249630
2086,0.159110,0.205559,0.252747
2087,0.161169,0.207562,0.254263
2088,0.163395,0.209253,0.255713
2089,0.163643,0.211023,0.259085
2090,0.164619,0.212895,0.261413
2091,0.165930,0.214689,0.262879
2092,0.170518,0.216817,0.264868
2093,0.172109,0.218571,0.265625
2094,0.173887,0.220056,0.267830
2095,0.174164,0.221403,0.269051
2096,0.176468,0.223692,0.271873
2097,0.177316,0.225225,0.273966
2098,0.177805,0.227129,0.275839
2099,0.180191,0.229194,0.278294
2100,0.183789,0.230715,0.279214
2101,0.184189,0.232098,0.281712
2102,0.185280,0.233890,0.282384
2103,0.187303,0.235834,0.284901
2104,0.189389,0.237852,0.286770
2105,0.188777,0.239387,0.288639
2106,0.191766,0.240732,0.291381
2107,0.193768,0.242595,0.290648
2108,0.192854,0.243654,0.293444
2109,0.195652,0.245854,0.297536
2110,0.198455,0.247575,0.296876
2111,0.198784,0.249493,0.300605
2112,0.201076,0.251634,0.302761
2113,0.203195,0.253717,0.305584
2114,0.205660,0.255420,0.306211
2115,0.205619,0.257111,0.306950
2116,0.207115,0.258157,0.308206
2117,0.209909,0.260975,0.313270
2118,0.208070,0.262342,0.314508
2119,0.211103,0.264163,0.317238
2120,0.212060,0.265354,0.318600
2121,0.216508,0.267636,0.319630
2122,0.216096,0.268770,0.321472
2123,0.218757,0.270821,0.324127
2124,0.221096,0.273026,0.325836
2125,0.221446,0.274331,0.326801
2126,0.223479,0.276286,0.329205
