,rockland_msl_m,portland_msl_m,bar_harbor_msl_m,copernicus_sla_gom_m,copernicus_adt_gom_m,grace_hist_lwe_thickness_gom_m,grace_hist_uncertainty_gom_m,greenland_mass_gt,greenland_mass_sigma_gt,argo_temperature_shelf_0_200dbar_deg_c,argo_salinity_shelf_0_200dbar,argo_density_shelf_0_200dbar_kg_m3,argo_sample_count_shelf_0_200dbar,argo_grid_cells_shelf_0_200dbar
rockland_msl_m,187.0,187.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
portland_msl_m,187.0,1356.0,864.0,384.0,384.0,161.0,161.0,236.0,236.0,145.0,145.0,145.0,145.0,145.0
bar_harbor_msl_m,165.0,864.0,864.0,346.0,346.0,161.0,161.0,235.0,235.0,142.0,142.0,142.0,142.0,142.0
copernicus_sla_gom_m,0.0,384.0,346.0,384.0,384.0,161.0,161.0,236.0,236.0,145.0,145.0,145.0,145.0,145.0
copernicus_adt_gom_m,0.0,384.0,346.0,384.0,384.0,161.0,161.0,236.0,236.0,145.0,145.0,145.0,145.0,145.0
grace_hist_lwe_thickness_gom_m,0.0,161.0,161.0,161.0,161.0,161.0,161.0,159.0,159.0,42.0,42.0,42.0,42.0,42.0
grace_hist_uncertainty_gom_m,0.0,161.0,161.0,161.0,161.0,161.0,161.0,159.0,159.0,42.0,42.0,42.0,42.0,42.0
greenland_mass_gt,0.0,236.0,235.0,236.0,236.0,159.0,159.0,250.0,250.0,122.0,122.0,122.0,122.0,122.0
greenland_mass_sigma_gt,0.0,236.0,235.0,236.0,236.0,159.0,159.0,250.0,250.0,122.0,122.0,122.0,122.0,122.0
argo_temperature_shelf_0_200dbar_deg_c,0.0,145.0,142.0,145.0,145.0,42.0,42.0,122.0,122.0,153.0,153.0,153.0,153.0,153.0
argo_salinity_shelf_0_200dbar,0.0,145.0,142.0,145.0,145.0,42.0,42.0,122.0,122.0,153.0,153.0,153.0,153.0,153.0
argo_density_shelf_0_200dbar_kg_m3,0.0,145.0,142.0,145.0,145.0,42.0,42.0,122.0,122.0,153.0,153.0,153.0,153.0,153.0
argo_sample_count_shelf_0_200dbar,0.0,145.0,142.0,145.0,145.0,42.0,42.0,122.0,122.0,153.0,153.0,153.0,153.0,153.0
argo_grid_cells_shelf_0_200dbar,0.0,145.0,142.0,145.0,145.0,42.0,42.0,122.0,122.0,153.0,153.0,153.0,153.0,153.0
